Filename,CA,"CDCA, UDCA, DCA",GCA,"GCDCA, GUDCA, GDCA",TCA,"TCDCA, TUDCA, TDCA"
Blank_1,0,0,0,0,19560680,0
Blank_2,0,0,0,0,19302404,0
QC_1,67481775,27881311,22763662,1643026,34486008474,1394638936
QC_2,97172487,33792499,33155319,2624087,52570910572,2070949234
Const_light_Cdifficile_1,5223676,20487314,31313,0,48385721,6122453
Const_light_Cdifficile_2,6519930,25938224,0,0,52170064,8338910
Const_light_Cdifficile_3,45684609,20239374,52332478,0,1.28476E+11,6444016714
Const_light_Cdifficile_4,2359496,28374397,32398,0,53867630,7676425
Const_light_uninf_1,110652247,40880986,1181712,35661,86697297,30654274
Const_light_uninf_2,64032886,39800309,1774000,173700,185717090,19421385
Const_light_uninf_3,15635890,47183168,3095595,427941,114216581,17889241
Const_light_uninf_4,5598805,23509009,1791637,140641,64260121,12181057
Const_light_uninf_5,33311280,44355729,6793644,579682,758612375,88701365
Typical_light_Cdifficile_1,7662449,21601041,158344,45352,45770223,6210525
Typical_light_Cdifficile_2,47730633,16136782,93843220,1951114,3.06623E+11,23024831452
Typical_light_Cdifficile_3,83177457,28119026,9564515,1179230,16934552543,608555094
Typical_light_Cdifficile_4,1863479210,37589626,209793611,7408933,46557894771,1465720263
Typical_light_Cdifficile_5,15761409628,117841853,692389735,33035825,1.27959E+11,5288976150
Typical_light_uninf_1,18637254,49001602,401173,26710,208961671,18349508
Typical_light_uninf_2,17524366,55643393,453095,110942,422023020,30258498
Typical_light_uninf_3,5860470,41175890,189987,0,131766195,14510513
Typical_light_uninf_4,159978373,42471497,72264706,12857251,1.28706E+11,6500622052
Typical_light_uninf_5,21271301,43968924,252540,0,215576830,22529658
