sample.id,body-site,year,month,day,subject,Antibiotic,Days_since_infection,Infection_status,light,all_group,Run,group_run
T275A1_,bacteria in colon/faeces,2024,4,15,Run1_subject_1,No,-14,Uninfected,Typicallight,Uni_n14_No_anti,Run1,Uni_n14_No_anti_Run1
T275A2_,bacteria in colon/faeces,2024,4,15,Run1_subject_2,No,-14,Uninfected,Typicallight,Uni_n14_No_anti,Run1,Uni_n14_No_anti_Run1
T275A3_,bacteria in colon/faeces,2024,4,15,Run1_subject_3,No,-14,Uninfected,Typicallight,Uni_n14_No_anti,Run1,Uni_n14_No_anti_Run1
T275A4_,bacteria in colon/faeces,2024,4,15,Run1_subject_4,No,-14,Uninfected,Typicallight,Uni_n14_No_anti,Run1,Uni_n14_No_anti_Run1
T275A5_,bacteria in colon/faeces,2024,4,15,Run1_subject_5,No,-14,Uninfected,Typicallight,Uni_n14_No_anti,Run1,Uni_n14_No_anti_Run1
T275B1_,bacteria in colon/faeces,2024,4,29,Run1_subject_6,No,0,Uninfected,Constantlight,Uni_Const_0_No_anti,Run1,Uni_Const_0_No_anti_Run1
T275B2_,bacteria in colon/faeces,2024,4,29,Run1_subject_7,No,0,Uninfected,Constantlight,Uni_Const_0_No_anti,Run1,Uni_Const_0_No_anti_Run1
T275B3_,bacteria in colon/faeces,2024,4,29,Run1_subject_8,No,0,Uninfected,Constantlight,Uni_Const_0_No_anti,Run1,Uni_Const_0_No_anti_Run1
T275B4_,bacteria in colon/faeces,2024,4,29,Run1_subject_9,No,0,Uninfected,Constantlight,Uni_Const_0_No_anti,Run1,Uni_Const_0_No_anti_Run1
T275B5_,bacteria in colon/faeces,2024,4,29,Run1_subject_10,No,0,Uninfected,Constantlight,Uni_Const_0_No_anti,Run1,Uni_Const_0_No_anti_Run1
T275C1_,bacteria in colon/faeces,2024,5,3,Run1_subject_11,Yes,4,Uninfected,Constantlight,Uni_Const_4_Anti,Run1,Uni_Const_4_Anti_Run1
T275C2_,bacteria in colon/faeces,2024,5,3,Run1_subject_12,Yes,4,Uninfected,Constantlight,Uni_Const_4_Anti,Run1,Uni_Const_4_Anti_Run1
