DB.Class.Key,Symbol.x,Symbol.y
49391136,Aldh1l1,ALDH1L1
49391137,Sox12,SOX12
49391138,Sry,SRY
49391139,Fry,FRY
49391140,Rpe65,RPE65
49391141,Ywhae,YWHAE
49391142,Camkv,CAMKV
49391143,Hsd3b5,HSD3B1
49391144,Hsd3b9,HSD3B2
49391145,Hsd3b8,HSD3B1
49391146,Hsd3b6,HSD3B1
49391147,Hsd3b1,HSD3B2
49391148,Hsd3b4,HSD3B1
49391149,Hsd3b3,HSD3B1
49391150,Hsd3b2,HSD3B1
49391151,Mpst,MPST
49391152,Tst,TST
49391153,Hs3st1,HS3ST1
49391154,Hs3st2,HS3ST2
49391155,Hs3st3b1,HS3ST3B1
49391156,Hs3st3a1,HS3ST3A1
49391157,Hs3st4,HS3ST4
49391158,Rps11,RPS11
49391159,Tnfrsf9,TNFRSF9
49391160,Ticrr,TICRR
49391161,Bsg,BSG
49391162,Gm6525,RPL36AL
49391163,Rpl36a-ps1,RPL36A
49391164,Rpl36al,RPL36A
49391165,Rpl36a,RPL36A
49391166,Rpl6,RPL6
49391167,Hs6st1,HS6ST1
49391168,Hs6st3,HS6ST3
49391169,Kdsr,KDSR
49391199,Map9,MAP9
49391207,Tnfaip3,TNFAIP3
49391224,Adora2a,ADORA2A
49391225,Rbfox1,RBFOX1
49391226,Adora3,ADORA3
49391227,H2-Oa,HLA-DOA
49391228,Hbq1a,HBQ1
49391229,Hba-a2,HBA1
49391230,Hba-x,HBZ
49391231,Cryaa,CRYAA
49391232,Prxl2c,PRXL2C
49391233,Aak1,AAK1
49391234,Aanat,AANAT
49391235,Aars1,AARS1
49391236,Rpl9-ps6,RPL9
49391237,Rpl9,RPL9
49391238,Abca1,ABCA1
49391239,Abca15,ABCA15P
49391240,Abca17,ABCA17P
49391241,Abca3,ABCA3
49391242,Abcb5,ABCB5
49391243,Abcb1a,ABCB1
49391244,Abcb1b,ABCB1
49391245,Abcb4,ABCB4
49391246,Tap1,TAP1
49391247,Tap2,TAP2
49391248,Abcb6,ABCB6
49391249,Abcc6,ABCC6
49391250,Cftr,CFTR
49391251,Abcf2,ABCF2
49391252,Abcg4,ABCG4
49391253,Abhd10,ABHD10
49391254,Abhd17a,ABHD17A
49391255,Abhd2,ABHD2
49391256,Ephx4,EPHX4
49391257,Abhd8,ABHD8
49391258,Abi1,ABI1
49391259,Abi3bp,ABI3BP
49391260,Aoc1l2,AOC1
49391261,Aoc1l3,AOC1
49391262,Aoc1l1,AOC1
49391263,Aoc1,AOC1
49391264,Abra,ABRA
49391265,Abraxas1,ABRAXAS1
49391266,Abraxas2,ABRAXAS2
49391267,Adcy5,ADCY5
49391268,Acap2,ACAP2
49391269,Soat2,SOAT2
49391270,Acaca,ACACA
49391271,Atp2a1,ATP2A1
49391272,Asic2,ASIC2
49391273,Asic1,ASIC1
49391274,Asic3,ASIC3
49391275,Asic4,ASIC4
49391276,Fgf8,FGF8
49391277,Furin,FURIN
49391278,A1cf,A1CF
49391279,Macf1,MACF1
49391280,Larp6,LARP6
49391281,Chrna1,CHRNA1
49391282,Chrnb1,CHRNB1
49391283,Chrne,CHRNE
49391284,Chrng,CHRNG
49391285,Pgm5,PGM5
49391286,Acin1,ACIN1
49391287,Tnk1,TNK1
49391288,Tnk2,TNK2
49391289,Acly,ACLY
49391290,Sdhaf3,SDHAF3
49391291,Acot11,ACOT11
49391292,Acot9,ACOT9
49391293,Acp5,ACP5
49391294,Pxylp1,PXYLP1
49391295,Adipoq,ADIPOQ
49391296,Acsl1,ACSL1
49391297,Acsl3,ACSL3
49391298,Acsl4,ACSL4
49391299,Acss1,ACSS1
49391300,Traf3ip2,TRAF3IP2
49391301,Actc1,ACTC1
49391302,Inhba,INHBA
49391303,Inhbb,INHBB
49391304,Acta1,ACTA1
49391305,Acte1,ACTE1P
49391306,Pomc,POMC
49391307,Actb,ACTB
49391308,Actg1,ACTG1
49391309,Actn2,ACTN2
49391310,Actn3,ACTN3
49391311,Actr1a,ACTR1A
49391312,Actr1b,ACTR1B
49391313,Actr2,ACTR2
49391314,Acvr2a,ACVR2A
49391315,Acvr2b,ACVR2B
49391316,Acvr1,ACVR1
49391317,Acvr1b,ACVR1B
49391318,Noc3l,NOC3L
49391319,Ada,ADA
49391320,Adal,MAPDA
49391321,Adam10,ADAM10
49391322,Adam12,ADAM12
