Metabolite_set,Metabolite
Lipids [BR:br08002],Taurodeoxycholic acid
Lipids [BR:br08002],Succinic acid
Lipids [BR:br08002],2-Hydroxyglutaric acid
Lipids [BR:br08002],5-Aminopentanoic acid
Lipids [BR:br08002],Glucaric acid
Lipids [BR:br08002],Diacetyl
Lipids [BR:br08002],Caprylic acid
Lipids [BR:br08002],Azelaic acid
Lipids [BR:br08002],Traumatic acid
Lipids [BR:br08002],Sulfolithocholylglycine
Lipids [BR:br08002],Palmitic acid
Lipids [BR:br08002],Docosahexaenoic acid
Lipids [BR:br08002],Stearic acid
Lipids [BR:br08002],Palmitoleic acid
Lipids [BR:br08002],5-Hydroxypentanoic acid
Lipids [BR:br08002],Retinyl ester
Lipids [BR:br08002],gamma-Aminobutyric acid
Lipids [BR:br08002],Cholesterol sulfate
Lipids [BR:br08002],Myristic acid
Lipids [BR:br08002],4-Hydroxybutyric acid
Lipids [BR:br08002],Sphingosine 1-phosphate
Lipids [BR:br08002],Eicosenoic acid
Lipids [BR:br08002],Palmitoylcarnitine
Lipids [BR:br08002],Dodecanoic acid
Lipids [BR:br08002],Acetoacetic acid
Lipids [BR:br08002],Octanoylcarnitine
Lipids [BR:br08002],2-Deoxycastasterone
Lipids [BR:br08002],Pyruvic acid
Lipids [BR:br08002],Sphinganine 1-phosphate
Lipids [BR:br08002],Ursodeoxycholic acid
Lipids [BR:br08002],3-Oxododecanoic acid
Lipids [BR:br08002],6-Deoxocastasterone
Lipids [BR:br08002],Itaconic acid
Lipids [BR:br08002],8-Amino-7-oxononanoate
Lipids [BR:br08002],Botrydial
Lipids [BR:br08002],Castasterone
Lipids [BR:br08002],Adrenic acid
Lipids [BR:br08002],Icosadienoic acid
Lipids [BR:br08002],Sebacic acid
Lipids [BR:br08002],Butyric acid
Lipids [BR:br08002],2-Aminomuconic acid
Lipids [BR:br08002],Arachidic acid
Lipids [BR:br08002],Latia luciferin
Lipids [BR:br08002],6alpha-Hydroxycastasterone
Lipids [BR:br08002],2-Aminoisobutyric acid
Lipids [BR:br08002],Undecanoic acid
Lipids [BR:br08002],3-Propylmalate
Lipids [BR:br08002],Mesaconic acid
Lipids [BR:br08002],Tuberculostearic acid
Lipids [BR:br08002],Norleucine
Lipids [BR:br08002],Monotropein
Lipids [BR:br08002],Tridecanoic acid
Lipids [BR:br08002],5-Amino-2-oxopentanoic acid
Lipids [BR:br08002],Pimelic acid
ST  Sterol lipids,Taurodeoxycholic acid
ST  Sterol lipids,Sulfolithocholylglycine
ST  Sterol lipids,Cholesterol sulfate
ST  Sterol lipids,2-Deoxycastasterone
ST  Sterol lipids,Ursodeoxycholic acid
ST  Sterol lipids,6-Deoxocastasterone
ST  Sterol lipids,Castasterone
ST  Sterol lipids,6alpha-Hydroxycastasterone
ST05 Steroid conjugates,Taurodeoxycholic acid
ST05 Steroid conjugates,Sulfolithocholylglycine
ST05 Steroid conjugates,Cholesterol sulfate
ST0504 Taurine conjugates,Taurodeoxycholic acid
C05463  Taurodeoxycholate,Taurodeoxycholic acid
Risk category of Japanese OTC drugs [BR:br08312],Carnitine
Risk category of Japanese OTC drugs [BR:br08312],Gluconic acid
Risk category of Japanese OTC drugs [BR:br08312],Arginine
Risk category of Japanese OTC drugs [BR:br08312],Pyridoxal
Risk category of Japanese OTC drugs [BR:br08312],Alanine
Risk category of Japanese OTC drugs [BR:br08312],Glucuronic acid
Third-class OTC drugs,Carnitine
Third-class OTC drugs,Lactic acid
Third-class OTC drugs,Gluconic acid
Third-class OTC drugs,Niacinamide
Third-class OTC drugs,Arginine
Third-class OTC drugs,Taurine
Third-class OTC drugs,Citric acid
Third-class OTC drugs,Pantothenic acid
Third-class OTC drugs,Glutamic acid
Third-class OTC drugs,Glucose
Third-class OTC drugs,Allantoin
Third-class OTC drugs,Tryptophan
Third-class OTC drugs,Riboflavin
Third-class OTC drugs,Orotic acid
Third-class OTC drugs,Glycerol
Third-class OTC drugs,Benzyl alcohol
Third-class OTC drugs,Pyridoxal
Third-class OTC drugs,Stearic acid
Third-class OTC drugs,Alanine
Third-class OTC drugs,Threonine
Third-class OTC drugs,Methionine
Third-class OTC drugs,Betaine
Third-class OTC drugs,Ursodeoxycholic acid
Third-class OTC drugs,Glucuronic acid
Third-class OTC drugs,myo-Inositol
Inorganic and organic chemicals,Carnitine
Inorganic and organic chemicals,Lactic acid
Inorganic and organic chemicals,Gluconic acid
Inorganic and organic chemicals,Niacinamide
Inorganic and organic chemicals,Arginine
Inorganic and organic chemicals,Taurine
Inorganic and organic chemicals,Citric acid
Inorganic and organic chemicals,Pantothenic acid
Inorganic and organic chemicals,Glutamic acid
Inorganic and organic chemicals,Glucose
Inorganic and organic chemicals,Allantoin
Inorganic and organic chemicals,Tryptophan
Inorganic and organic chemicals,Riboflavin
Inorganic and organic chemicals,Orotic acid
Inorganic and organic chemicals,Glycerol
Inorganic and organic chemicals,Glycerol
Inorganic and organic chemicals,Benzyl alcohol
Inorganic and organic chemicals,Pyridoxal
Inorganic and organic chemicals,Stearic acid
Inorganic and organic chemicals,Alanine
Inorganic and organic chemicals,Threonine
Inorganic and organic chemicals,Methionine
Inorganic and organic chemicals,Betaine
Inorganic and organic chemicals,Ursodeoxycholic acid
Inorganic and organic chemicals,Glucuronic acid
Inorganic and organic chemicals,myo-Inositol
Carnitine,Carnitine
C00487  Carnitine,Carnitine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00111)],Lactic acid
G GENITO URINARY SYSTEM AND SEX HORMONES,Lactic acid
G GENITO URINARY SYSTEM AND SEX HORMONES,Inosine
G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,Lactic acid
G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,Inosine
"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Lactic acid
"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Inosine
G01AD Organic acids,Lactic acid
G01AD01 Lactic acid,Lactic acid
D00111  Lactic acid (JP18/USP) &lt;JP&gt;,Lactic acid
Therapeutic category of drugs in Japan [BR:br08301(D00111)],Lactic acid
7  Agents not mainly for therapeutic purpose,Lactic acid
7  Agents not mainly for therapeutic purpose,Adenosine
71  Dispensing medicines,Lactic acid
"714  Flavorings, deodorants, coloring agents",Lactic acid
7149  Others,Lactic acid
D00111  Lactic acid (JP18/USP),Lactic acid
D00111  Lactic acid (JP18/USP),Lactic acid
Risk category of Japanese OTC drugs [BR:br08312(D00111)],Lactic acid
Lactic acid,Lactic acid
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00111)],Lactic acid
Chemicals,Lactic acid
Chemicals,Niacinamide
Chemicals,Taurine
Chemicals,Citric acid
Chemicals,Tyrosine
Chemicals,Glutamic acid
Chemicals,Glucose
Chemicals,Tryptophan
Chemicals,Riboflavin
Chemicals,Serine
Chemicals,Glycerol
Chemicals,Benzyl alcohol
Chemicals,Citicoline
Chemicals,Acetylcysteine
Chemicals,Stearic acid
Chemicals,Threonine
Chemicals,Methionine
Chemicals,Mannitol
Chemicals,Glutathione
Chemicals,Ursodeoxycholic acid
Chemicals,Dopa
D00111  Lactic acid,Lactic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07349)],Glycerophosphocholine
N NERVOUS SYSTEM,Glycerophosphocholine
N NERVOUS SYSTEM,Tryptophan
N NERVOUS SYSTEM,Citicoline
N NERVOUS SYSTEM,gamma-Aminobutyric acid
N NERVOUS SYSTEM,Dopa
N07 OTHER NERVOUS SYSTEM DRUGS,Glycerophosphocholine
N07A PARASYMPATHOMIMETICS,Glycerophosphocholine
N07AX Other parasympathomimetics,Glycerophosphocholine
N07AX02 Choline alfoscerate,Glycerophosphocholine
D07349  Choline alfoscerate (INN),Glycerophosphocholine
D07349  Choline alfoscerate (INN),Glycerophosphocholine
Drug groups [BR:br08330(D07349)],Glycerophosphocholine
Neuropsychiatric agent,Glycerophosphocholine
Neuropsychiatric agent,gamma-Aminobutyric acid
Neuropsychiatric agent,gamma-Aminobutyric acid
Neuropsychiatric agent,4-Hydroxybutyric acid
Neuropsychiatric agent,Dopamine
Neuropsychiatric agent,Dopa
Neuropsychiatric agent,Dopa
DG01490  Muscarinic cholinergic receptor agonist,Glycerophosphocholine
D07349  Choline alfoscerate,Glycerophosphocholine
D07349  Choline alfoscerate,Glycerophosphocholine
DG01719  Parasympathomimetic agent,Glycerophosphocholine
Target-based classification of drugs [BR:br08310(D07349)],Glycerophosphocholine
G Protein-coupled receptors,Glycerophosphocholine
G Protein-coupled receptors,Adenosine
G Protein-coupled receptors,gamma-Aminobutyric acid
G Protein-coupled receptors,Dopamine
G Protein-coupled receptors,Dopa
Rhodopsin family,Glycerophosphocholine
Rhodopsin family,Adenosine
Rhodopsin family,Dopamine
Rhodopsin family,Dopa
Acetylcholine (muscarinic),Glycerophosphocholine
CHRM,Glycerophosphocholine
Compounds with biological roles [BR:br08001],Gluconic acid
Compounds with biological roles [BR:br08001],Niacinamide
Compounds with biological roles [BR:br08001],Malic acid
Compounds with biological roles [BR:br08001],Citrulline
Compounds with biological roles [BR:br08001],Citric acid
Compounds with biological roles [BR:br08001],Succinic acid
Compounds with biological roles [BR:br08001],Pantothenic acid
Compounds with biological roles [BR:br08001],Oxoglutaric acid
Compounds with biological roles [BR:br08001],Tyrosine
Compounds with biological roles [BR:br08001],Glutamic acid
Compounds with biological roles [BR:br08001],Glucose
Compounds with biological roles [BR:br08001],Adenosine
Compounds with biological roles [BR:br08001],Tryptophan
Compounds with biological roles [BR:br08001],Uridine
Compounds with biological roles [BR:br08001],Riboflavin
Compounds with biological roles [BR:br08001],Thymine
Compounds with biological roles [BR:br08001],Cytidine
Compounds with biological roles [BR:br08001],Uracil
Compounds with biological roles [BR:br08001],Cystine
Compounds with biological roles [BR:br08001],Adenine
Compounds with biological roles [BR:br08001],Serine
Compounds with biological roles [BR:br08001],Guanosine monophosphate
Compounds with biological roles [BR:br08001],Uridine 5'-monophosphate
Compounds with biological roles [BR:br08001],Deoxyuridine
Compounds with biological roles [BR:br08001],Deoxycytidine
Compounds with biological roles [BR:br08001],Carnosine
Compounds with biological roles [BR:br08001],NAD
Compounds with biological roles [BR:br08001],Glycerol
Compounds with biological roles [BR:br08001],Caprylic acid
Compounds with biological roles [BR:br08001],Oxalic acid
Compounds with biological roles [BR:br08001],ADP
Compounds with biological roles [BR:br08001],Pyridoxal
Compounds with biological roles [BR:br08001],Guanosine
Compounds with biological roles [BR:br08001],Palmitic acid
Compounds with biological roles [BR:br08001],Docosahexaenoic acid
Compounds with biological roles [BR:br08001],Stearic acid
Compounds with biological roles [BR:br08001],Palmitoleic acid
Compounds with biological roles [BR:br08001],Threonine
Compounds with biological roles [BR:br08001],gamma-Aminobutyric acid
Compounds with biological roles [BR:br08001],Methionine
Compounds with biological roles [BR:br08001],Myristic acid
Compounds with biological roles [BR:br08001],4-Hydroxybutyric acid
Compounds with biological roles [BR:br08001],Eicosenoic acid
Compounds with biological roles [BR:br08001],Dodecanoic acid
Compounds with biological roles [BR:br08001],Acetoacetic acid
Compounds with biological roles [BR:br08001],Rhamnose
Compounds with biological roles [BR:br08001],Mannitol
Compounds with biological roles [BR:br08001],beta-Alanine
Compounds with biological roles [BR:br08001],cis-Aconitic acid
Compounds with biological roles [BR:br08001],Glutathione
Compounds with biological roles [BR:br08001],Pyruvic acid
Compounds with biological roles [BR:br08001],Ursodeoxycholic acid
Compounds with biological roles [BR:br08001],trans-Aconitic acid
Compounds with biological roles [BR:br08001],N-Acetylneuraminic acid
Compounds with biological roles [BR:br08001],Glucuronic acid
Compounds with biological roles [BR:br08001],UDP-glucose
Compounds with biological roles [BR:br08001],Erythrose
Compounds with biological roles [BR:br08001],N-Acetyl-D-fucosamine
Compounds with biological roles [BR:br08001],Icosadienoic acid
Compounds with biological roles [BR:br08001],Butyric acid
Compounds with biological roles [BR:br08001],Muramic acid
Compounds with biological roles [BR:br08001],myo-Inositol
Compounds with biological roles [BR:br08001],Arachidic acid
Compounds with biological roles [BR:br08001],Pyroglutamic acid
Compounds with biological roles [BR:br08001],Xylobiose
Compounds with biological roles [BR:br08001],N-Acetylmuramate
Compounds with biological roles [BR:br08001],Dopamine
Compounds with biological roles [BR:br08001],Pimelic acid
Compounds with biological roles [BR:br08001],Uridine 5'-diphosphate
Compounds with biological roles [BR:br08001],N-Acetyl-D-glucosamine
Compounds with biological roles [BR:br08001],Dopa
Carbohydrates,Gluconic acid
Carbohydrates,Glucose
Carbohydrates,Glycerol
Carbohydrates,Rhamnose
Carbohydrates,Mannitol
Carbohydrates,N-Acetylneuraminic acid
Carbohydrates,Glucuronic acid
Carbohydrates,Erythrose
Carbohydrates,N-Acetyl-D-fucosamine
Carbohydrates,Muramic acid
Carbohydrates,myo-Inositol
Carbohydrates,Xylobiose
Carbohydrates,N-Acetylmuramate
Carbohydrates,N-Acetyl-D-glucosamine
Monosaccharides,Gluconic acid
Monosaccharides,Glucose
Monosaccharides,Glycerol
Monosaccharides,Rhamnose
Monosaccharides,Mannitol
Monosaccharides,N-Acetylneuraminic acid
Monosaccharides,Glucuronic acid
Monosaccharides,Erythrose
Monosaccharides,N-Acetyl-D-fucosamine
Monosaccharides,Muramic acid
Monosaccharides,myo-Inositol
Monosaccharides,N-Acetylmuramate
Monosaccharides,N-Acetyl-D-glucosamine
Sugar acids,Gluconic acid
Sugar acids,Glucuronic acid
C00257  D-Gluconic acid,Gluconic acid
C00257  D-Gluconic acid,Gluconic acid
Calcium gluconate,Gluconic acid
Vitamins and cofactors,Niacinamide
Vitamins and cofactors,Pantothenic acid
Vitamins and cofactors,Riboflavin
Vitamins and cofactors,NAD
Vitamins and cofactors,Pyridoxal
Vitamins and cofactors,Glutathione
Vitamins and cofactors,UDP-glucose
Vitamins,Niacinamide
Vitamins,Pantothenic acid
Vitamins,Riboflavin
Vitamins,Pyridoxal
Water-soluble vitamins,Niacinamide
Water-soluble vitamins,Pantothenic acid
Water-soluble vitamins,Riboflavin
Water-soluble vitamins,Pyridoxal
C00153  Nicotinamide (Vitamin B3),Niacinamide
Phytochemical compounds [BR:br08003],Niacinamide
Phytochemical compounds [BR:br08003],Xanthine
